kode_desa,name,kecamatan,kabupaten,l1_class,tech,pop_2017,hh_2017,pop_2026,hh_2026,growth_pct,density,lit_fraction,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,dist_grid_m,hydro_kw,wind50,feedstock,slope_deg
81.06.03.2002,Nikulukan,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,668,164,775,190,1.6666666666666667,60.879811468970935,0.1818181818181818,50.160000000000004,111.5,384478.0,799714.0,592096.0,23506.64990752617,47.81745464613035,1.1907204035627112,0.989385076240739,15.171737692453965
81.06.03.2003,Niwelehu,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,718,194,858,232,2.0,46.253369272237194,0.1818181818181818,61.248000000000005,136.1,467339.0,972066.0,719702.0,22299.90165337058,46.648504864192624,1.3009456568001685,0.9874622071485436,14.88143856571672
81.06.03.2004,Nuniali,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,643,156,746,181,1.6666666666666667,65.1528384279476,0.2272727272727272,47.784000000000006,106.2,354121.0,736571.0,545346.0,25354.68684484192,49.33271388045125,1.1907204035627112,0.9727806764695148,11.70301085505734
81.06.03.2005,Lisabata,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,1140,304,1362,363,2.0,117.0103092783505,0.2272727272727272,95.832,213.0,753425.0,1567125.0,1160275.0,27080.68568301955,57.47084945967445,1.1907204035627112,0.9871079645746624,16.59532464518883
81.06.03.2006,Wakolo,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,349,96,393,108,1.3333333333333333,74.29111531190927,0.2727272727272727,28.512000000000004,63.4,216331.0,449969.0,333150.0,29038.508161577447,55.34564503397666,1.1907204035627112,0.9936734974556456,14.18934332299639
81.06.03.2007,Patahuwe,Taniwel,Seram Bagian Barat,dark_settled,micro_hydro,376,87,449,104,2.0,21.7644207464857,0.1363636363636363,27.456000000000003,61.0,216059.0,449403.0,332731.0,29466.65903451306,52.41686291782366,1.1512757429553746,0.9910062391439108,16.671205368426232
81.06.03.2008,Taniwel,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,1782,499,2008,562,1.3333333333333333,18.319496396314204,0.2727272727272727,148.368,329.7,1094934.0,2277463.0,1686198.0,32120.56708714838,42.416224800938025,0.9113428536141688,0.9797186723810606,11.272065255433336
81.06.03.2009,Hulung,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,837,224,971,260,1.6666666666666667,74.34915773353751,0.4090909090909091,68.64,152.5,514039.0,1069201.0,791620.0,42284.86427678645,50.5006047800563,0.9220844229375934,0.9869395213374828,12.86389777763138
81.06.03.2010,Kasieh,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,1180,296,1410,354,2.0,26.374859708193043,0.2272727272727272,93.456,207.7,710500.0,1477840.0,1094170.0,39530.85333990717,47.035884600301465,0.9109453482467904,0.9854566432467028,14.465558045331452
81.06.03.2011,Nukuhai,Taniwel,Seram Bagian Barat,intermittent,solar_biomass_hybrid,334,93,399,111,2.0,11.26164267569856,0.1818181818181818,29.304,117.2,345023.0,627942.0,486482.0,44107.290434093775,16.63010452345157,0.9356180196844824,0.9951081126918156,18.87766344399211
81.06.03.2012,Pasinalo,Taniwel,Seram Bagian Barat,intermittent,solar_biomass_hybrid,415,111,468,125,1.3333333333333333,64.19753086419753,0.3181818181818182,33.0,132.0,356182.0,648252.0,502217.0,48800.576756005146,25.277487764023945,0.9356180196844824,0.9841671460644412,12.934045413574257
81.06.03.2028,Uweth,Taniwel,Seram Bagian Barat,intermittent,solar_biomass_hybrid,700,177,812,205,1.6666666666666667,359.2920353982301,0.5909090909090909,54.12,216.5,541250.0,985075.0,763162.0,39144.70598425475,14.980390750663616,0.8838058532357728,0.9351574212893552,2.5896469447641306
81.06.03.2029,Laturake,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,598,160,736,197,2.3333333333333335,16.528183247249046,0.2272727272727272,52.007999999999996,115.6,428641.0,891573.0,660107.0,34173.72819757708,50.94994525620669,0.9073562259971564,0.9993752387227038,19.32745060666307
