kode_desa,month,radiance
81.01.02.2007,2026-04,1.6710478489232419
81.01.02.2007,2026-05,
81.01.02.2007,2026-06,
81.01.02.2008,2024-07,0.5382708094715695
81.01.02.2008,2024-08,0.6169421376881902
81.01.02.2008,2024-09,0.6000635715062955
81.01.02.2008,2024-10,0.5567260011320122
81.01.02.2008,2024-11,0.5771137885204638
81.01.02.2008,2024-12,0.6010107961681644
81.01.02.2008,2025-01,0.4461919982211271
81.01.02.2008,2025-02,0.0
81.01.02.2008,2025-03,0.42804831452075653
81.01.02.2008,2025-04,0.678963755204734
81.01.02.2008,2025-05,0.29246662343980706
81.01.02.2008,2025-06,0.0
81.01.02.2008,2025-07,0.45865225963393985
81.01.02.2008,2025-08,0.34002543108044014
81.01.02.2008,2025-09,0.5580864614615832
81.01.02.2008,2025-10,0.5381118917609203
81.01.02.2008,2025-11,0.5629052642190525
81.01.02.2008,2025-12,1.331958028649496
81.01.02.2008,2026-01,0.051837255715262875
81.01.02.2008,2026-02,0.0
81.01.02.2008,2026-03,0.0
81.01.02.2008,2026-04,0.9839160921690351
81.01.02.2008,2026-05,
81.01.02.2008,2026-06,
81.01.02.2009,2024-07,0.49627158567620017
81.01.02.2009,2024-08,0.6034484778160919
81.01.02.2009,2024-09,0.6530539019320645
81.01.02.2009,2024-10,0.5878350204650032
81.01.02.2009,2024-11,0.6833323404867427
81.01.02.2009,2024-12,0.5279779645612663
81.01.02.2009,2025-01,0.5299806444283894
81.01.02.2009,2025-02,0.0
81.01.02.2009,2025-03,0.2921739149153091
81.01.02.2009,2025-04,0.7407444931462435
81.01.02.2009,2025-05,0.2987164977545218
81.01.02.2009,2025-06,0.0
81.01.02.2009,2025-07,0.4849374621325551
81.01.02.2009,2025-08,0.43828618175451645
81.01.02.2009,2025-09,0.5807206585998868
81.01.02.2009,2025-10,0.588165569995009
81.01.02.2009,2025-11,0.5674910638736536
81.01.02.2009,2025-12,1.111130140497704
81.01.02.2009,2026-01,0.07666765907784882
81.01.02.2009,2026-02,0.0
81.01.02.2009,2026-03,0.0
81.01.02.2009,2026-04,1.0820145947129833
81.01.02.2009,2026-05,
81.01.02.2009,2026-06,
81.01.02.2010,2024-07,0.5248932185389981
81.01.02.2010,2024-08,0.5752181943329595
81.01.02.2010,2024-09,0.5894382548144046
81.01.02.2010,2024-10,0.49073816714125207
81.01.02.2010,2024-11,0.48283657682030523
81.01.02.2010,2024-12,0.45093779457506467
81.01.02.2010,2025-01,0.4203853302651682
81.01.02.2010,2025-02,0.0
81.01.02.2010,2025-03,0.42764159746488817
81.01.02.2010,2025-04,0.668927575538528
81.01.02.2010,2025-05,0.22967037987465533
81.01.02.2010,2025-06,0.0
81.01.02.2010,2025-07,0.4472098394661118
81.01.02.2010,2025-08,0.34285979046155124
81.01.02.2010,2025-09,0.493286904850378
81.01.02.2010,2025-10,0.5105942435278976
81.01.02.2010,2025-11,0.4774651845628281
81.01.02.2010,2025-12,1.2085097349139002
81.01.02.2010,2026-01,0.0012534819439593131
81.01.02.2010,2026-02,0.0
81.01.02.2010,2026-03,0.0
81.01.02.2010,2026-04,0.930464257492218
81.01.02.2010,2026-05,
81.01.02.2010,2026-06,
81.01.02.2011,2024-07,0.5194530972325573
81.01.02.2011,2024-08,0.5398043498509512
81.01.02.2011,2024-09,0.5405513599958883
81.01.02.2011,2024-10,0.5446064872522257
81.01.02.2011,2024-11,0.6006802855437999
81.01.02.2011,2024-12,0.48912404353033445
81.01.02.2011,2025-01,0.5096220543062279
81.01.02.2011,2025-02,0.0
81.01.02.2011,2025-03,0.5190795916896653
81.01.02.2011,2025-04,0.6737483295932141
81.01.02.2011,2025-05,0.4261538434977424
81.01.02.2011,2025-06,0.0
81.01.02.2011,2025-07,0.4670342360405776
81.01.02.2011,2025-08,0.4316140560887956
81.01.02.2011,2025-09,0.5243486091395175
81.01.02.2011,2025-10,0.5497020924022432
81.01.02.2011,2025-11,0.43546020523502127
81.01.02.2011,2025-12,0.9181102631326226
81.01.02.2011,2026-01,0.1470253481606263
81.01.02.2011,2026-02,0.0
81.01.02.2011,2026-03,0.0
81.01.02.2011,2026-04,0.8879324189288292
81.01.02.2011,2026-05,
81.01.02.2011,2026-06,
81.01.02.2012,2024-07,0.41847909184312043
81.01.02.2012,2024-08,0.620253488251465
81.01.02.2012,2024-09,0.6583396695337067
81.01.02.2012,2024-10,0.6067300348227469
81.01.02.2012,2024-11,0.6046704600443557
81.01.02.2012,2024-12,0.5300697132812857
81.01.02.2012,2025-01,0.7433333463013099
81.01.02.2012,2025-02,0.0
81.01.02.2012,2025-03,0.09157160849927799
81.01.02.2012,2025-04,0.6954879433634314
81.01.02.2012,2025-05,0.28835234257507086
81.01.02.2012,2025-06,0.0
81.01.02.2012,2025-07,0.5067427110951512
81.01.02.2012,2025-08,0.48326362669467926
81.01.02.2012,2025-09,0.6263434598352218
81.01.02.2012,2025-10,0.5963878216096808
81.01.02.2012,2025-11,0.4674841611444271
81.01.02.2012,2025-12,1.2797718545934247
81.01.02.2012,2026-01,0.009404308744558667
81.01.02.2012,2026-02,0.0
81.01.02.2012,2026-03,0.0
